Scenario,Region,Basin,FU,Constituent,LoadToStream,BasinScale,Units
PREDEV,CY,Jeannie,Cropping,PN,0.002538335233135933,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,PN,2.411118916878401,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,PN,4.128837364397688,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,PN,0.0021761382792583038,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,PN,1.3234957996502152,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,PN,0.003629729498811096,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,PP,96.1908144597948,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,PP,0.00060153258510275,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,PP,0.5580605588688784,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,PP,1.1687779619099683,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,PP,0.0005156994504016333,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,PP,0.7336408467965432,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,PP,0.005297381194078992,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,DIN,27.744403002328625,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,DIN,0.006358211422405533,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,DIN,0.274904123189966,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,DIN,3.428992536686108,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,DIN,0.005450953479646867,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,DIN,0.06165780190526979,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,DON,156.3047073201348,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,DON,0.03493111125047367,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,DON,1.505050006925316,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,DON,18.793929252776216,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,DON,0.029946764889086434,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,DON,0.33772847084989144,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,DIP,3.614572811195175,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,DIP,0.0008209435456210766,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,DIP,0.0354507603235414,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,DIP,0.4423654551636437,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,DIP,0.0007038024973796266,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,DIP,0.00795255408252156,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,DOP,10.354957588344405,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,DOP,0.0022001189380770566,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,DOP,0.09410674570939091,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,DOP,1.1778805226554063,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,DOP,0.0018861823264662901,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,DOP,0.021138790178117355,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Conservation,FS,17.10356516651931,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Cropping,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Forestry,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Grazing,FS,0.08783662674805542,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Horticulture,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Stream,FS,2.240478578057002,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Urban + Other,FS,0.020953546045247722,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,PN,80.66353970597764,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,PN,0.5134827490920185,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,PN,1.8084439530375247,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,PN,0.0053363053576364165,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,PP,27.024227893506996,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,PP,0.11498709709489102,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,PP,0.9089579788831946,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,PP,0.001074454554769022,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,DIN,38.30467466737619,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,DIN,0.7429796672840803,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,DIN,0.03978264185455314,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,DON,218.82312583945546,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,DON,4.412239246259154,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,DON,0.22083552823636907,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,DIP,3.252013829255639,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,DIP,0.0,Manag_Unit_48,t/yr
