Region,Basin,BasinScale,Constituent,PercentReduction,Units
BM,Burnett,Manag_Unit_48,PP,0.5235057057595952,%
BM,Burrum,Manag_Unit_48,PP,1.9546731126003303,%
BM,Kolan,Manag_Unit_48,PP,0.8631583444421762,%
BM,Mary,Manag_Unit_48,PP,4.98733225011643,%
BU,Belyando,Manag_Unit_48,PP,-0.2260417394191609,%
BU,Black,Manag_Unit_48,PP,0.010249300436490555,%
BU,Bowen Bogie,Manag_Unit_48,PP,3.03218587086815,%
BU,Burdekin Delta,Manag_Unit_48,PP,2.5694626431824,%
BU,Cape Campaspe,Manag_Unit_48,PP,-0.23666987076973148,%
BU,Don,Manag_Unit_48,PP,1.7332750516668067,%
BU,East Burdekin,Manag_Unit_48,PP,4.336857667595772,%
BU,Haughton,Manag_Unit_48,PP,3.5231101916573095,%
BU,Ross,Manag_Unit_48,PP,0.13284038620516025,%
BU,Suttor,Manag_Unit_48,PP,0.23461901989844874,%
BU,Upper Burdekin,Manag_Unit_48,PP,1.152427726908105,%
CY,Endeavour,Manag_Unit_48,PP,0.6824437421681178,%
CY,Jacky Jacky,Manag_Unit_48,PP,0.0,%
CY,Jeannie,Manag_Unit_48,PP,0.0,%
CY,Lockhart,Manag_Unit_48,PP,0.0,%
CY,Normanby,Manag_Unit_48,PP,0.045058287873129856,%
CY,Olive Pascoe,Manag_Unit_48,PP,0.0,%
CY,Stewart,Manag_Unit_48,PP,0.0,%
FI,Boyne,Manag_Unit_48,PP,0.002645505457277633,%
FI,Calliope,Manag_Unit_48,PP,3.201056038937697,%
FI,Comet,Manag_Unit_48,PP,0.48143680843886916,%
FI,Dawson,Manag_Unit_48,PP,0.5591612104901734,%
FI,Fitzroy,Manag_Unit_48,PP,17.34578509326359,%
FI,Isaac,Manag_Unit_48,PP,0.9533705743064183,%
FI,Mackenzie,Manag_Unit_48,PP,-0.14524613634334316,%
FI,Nogoa,Manag_Unit_48,PP,2.5784139138313606,%
FI,Shoalwater,Manag_Unit_48,PP,1.0752989752323676e-07,%
FI,Styx,Manag_Unit_48,PP,0.06396813841447878,%
FI,Theresa,Manag_Unit_48,PP,5.010912078902053,%
FI,Water Park,Manag_Unit_48,PP,0.014071875419410098,%
MW,O-Connell,Manag_Unit_48,PP,3.0238070288182293,%
MW,Pioneer,Manag_Unit_48,PP,0.4467527019720459,%
MW,Plane,Manag_Unit_48,PP,0.32103359943748233,%
MW,Proserpine,Manag_Unit_48,PP,2.6094107595658835,%
WT,Barron,Manag_Unit_48,PP,0.0026172009258120387,%
WT,Daintree,Manag_Unit_48,PP,0.0,%
WT,Johnstone,Manag_Unit_48,PP,0.09120344787923411,%
WT,Lower Herbert,Manag_Unit_48,PP,2.3944503361643,%
WT,Mossman,Manag_Unit_48,PP,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,PP,0.03529187602735205,%
WT,Murray,Manag_Unit_48,PP,0.5192772011334206,%
WT,Tully,Manag_Unit_48,PP,0.0861820833265456,%
WT,Upper Herbert,Manag_Unit_48,PP,-0.0553407031009391,%
