Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToStream
CHANGE,BM,Baffle,DON,Manag_Unit_48,t/yr,353.4329385844825
CHANGE,BM,Baffle,DOP,Manag_Unit_48,t/yr,13.839050641317273
CHANGE,BM,Baffle,FS,Manag_Unit_48,kt/yr,34.31607382492379
CHANGE,BM,Baffle,PN,Manag_Unit_48,t/yr,125.69886218407622
CHANGE,BM,Baffle,PP,Manag_Unit_48,t/yr,66.9003849524244
CHANGE,BM,Burnett,DIN,Manag_Unit_48,t/yr,271.2067895890246
CHANGE,BM,Burnett,DIP,Manag_Unit_48,t/yr,59.1663307499653
CHANGE,BM,Burnett,DON,Manag_Unit_48,t/yr,625.8189550468982
CHANGE,BM,Burnett,DOP,Manag_Unit_48,t/yr,29.661182451531012
CHANGE,BM,Burnett,FS,Manag_Unit_48,kt/yr,1036.6080054213135
CHANGE,BM,Burnett,PN,Manag_Unit_48,t/yr,3241.266292321582
CHANGE,BM,Burnett,PP,Manag_Unit_48,t/yr,984.194883715012
CHANGE,BM,Burrum,DIN,Manag_Unit_48,t/yr,81.6385476313813
