Region,Basin,BasinScale,Constituent,Anthropogenic,Units
FI,Calliope,Manag_Unit_48,FS,1.332503707430383e-06,kt/yr
FI,Comet,Manag_Unit_48,FS,9.866498457733685e-06,kt/yr
FI,Dawson,Manag_Unit_48,FS,2.1305712391197916e-05,kt/yr
FI,Fitzroy,Manag_Unit_48,FS,6.945682113196764e-06,kt/yr
FI,Isaac,Manag_Unit_48,FS,1.5504863505675004e-05,kt/yr
FI,Mackenzie,Manag_Unit_48,FS,5.9552921809747354e-06,kt/yr
FI,Nogoa,Manag_Unit_48,FS,1.3539103119834385e-05,kt/yr
FI,Shoalwater,Manag_Unit_48,FS,7.952756511187433e-07,kt/yr
FI,Styx,Manag_Unit_48,FS,1.6975293282474178e-06,kt/yr
FI,Theresa,Manag_Unit_48,FS,3.1455705578490457e-06,kt/yr
FI,Water Park,Manag_Unit_48,FS,1.3183476227227686e-07,kt/yr
MW,O-Connell,Manag_Unit_48,FS,6.550324827488957e-06,kt/yr
MW,Pioneer,Manag_Unit_48,FS,2.6454057793478273e-06,kt/yr
MW,Plane,Manag_Unit_48,FS,2.240307154850833e-06,kt/yr
MW,Proserpine,Manag_Unit_48,FS,1.117578393900781e-06,kt/yr
WT,Barron,Manag_Unit_48,FS,3.565700716728452e-06,kt/yr
WT,Daintree,Manag_Unit_48,FS,1.5938629839817537e-06,kt/yr
WT,Johnstone,Manag_Unit_48,FS,8.084226710469751e-06,kt/yr
WT,Lower Herbert,Manag_Unit_48,FS,2.58964154160931e-06,kt/yr
WT,Mossman,Manag_Unit_48,FS,2.0617580080057967e-07,kt/yr
WT,Mulgrave-Russell,Manag_Unit_48,FS,1.766822124835712e-06,kt/yr
WT,Murray,Manag_Unit_48,FS,5.073217183722434e-07,kt/yr
WT,Tully,Manag_Unit_48,FS,1.735956668234923e-06,kt/yr
WT,Upper Herbert,Manag_Unit_48,FS,3.90301081007006e-06,kt/yr
BM,Baffle,Manag_Unit_48,PN,0.0025974622181961443,t/yr
BM,Burnett,Manag_Unit_48,PN,0.08279714149650585,t/yr
BM,Burrum,Manag_Unit_48,PN,0.001086213491214727,t/yr
BM,Kolan,Manag_Unit_48,PN,0.006564290997013599,t/yr
BM,Mary,Manag_Unit_48,PN,0.0286838339266766,t/yr
BU,Belyando,Manag_Unit_48,PN,0.0036541285482610164,t/yr
BU,Black,Manag_Unit_48,PN,0.001152127219455229,t/yr
BU,Bowen Bogie,Manag_Unit_48,PN,0.06267390120848676,t/yr
BU,Burdekin Delta,Manag_Unit_48,PN,0.002497999491032633,t/yr
BU,Cape Campaspe,Manag_Unit_48,PN,0.01004777235505692,t/yr
BU,Don,Manag_Unit_48,PN,0.00785227920905212,t/yr
BU,East Burdekin,Manag_Unit_48,PN,0.0031214954459614073,t/yr
BU,Haughton,Manag_Unit_48,PN,0.006450753990422161,t/yr
BU,Ross,Manag_Unit_48,PN,0.002339474415130815,t/yr
BU,Suttor,Manag_Unit_48,PN,0.004814717839445709,t/yr
BU,Upper Burdekin,Manag_Unit_48,PN,0.08401004507893088,t/yr
CY,Endeavour,Manag_Unit_48,PN,0.0030000231842186604,t/yr
CY,Jacky Jacky,Manag_Unit_48,PN,0.0006103404637460841,t/yr
CY,Jeannie,Manag_Unit_48,PN,0.0010595955109625615,t/yr
CY,Lockhart,Manag_Unit_48,PN,6.383978234614176e-05,t/yr
CY,Normanby,Manag_Unit_48,PN,0.00941805217487667,t/yr
CY,Olive Pascoe,Manag_Unit_48,PN,0.0017355878488731341,t/yr
CY,Stewart,Manag_Unit_48,PN,9.617053345703066e-05,t/yr
FI,Boyne,Manag_Unit_48,PN,0.003555829254256105,t/yr
FI,Calliope,Manag_Unit_48,PN,0.003146711251678847,t/yr
FI,Comet,Manag_Unit_48,PN,0.012050198826084962,t/yr
FI,Dawson,Manag_Unit_48,PN,0.03164359503492696,t/yr
FI,Fitzroy,Manag_Unit_48,PN,0.012122464907521457,t/yr
FI,Isaac,Manag_Unit_48,PN,0.01583148539839895,t/yr
FI,Mackenzie,Manag_Unit_48,PN,0.006518715582487844,t/yr
FI,Nogoa,Manag_Unit_48,PN,0.015205786545526333,t/yr
FI,Shoalwater,Manag_Unit_48,PN,0.001224925390448163,t/yr
