Region,Basin,BasinScale,Constituent,Reduction,Units
WT,Lower Herbert,Manag_Unit_48,PN,0.0002377884910504842,t/yr
WT,Mossman,Manag_Unit_48,PN,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,PN,9.29463133502774e-06,t/yr
WT,Murray,Manag_Unit_48,PN,2.0033491044440172e-05,t/yr
WT,Tully,Manag_Unit_48,PN,6.067277249157617e-06,t/yr
WT,Upper Herbert,Manag_Unit_48,PN,-5.2685096696185e-06,t/yr
BM,Baffle,Manag_Unit_48,PP,1.5195360566835347e-07,t/yr
BM,Burnett,Manag_Unit_48,PP,2.6049860288122773e-05,t/yr
BM,Burrum,Manag_Unit_48,PP,6.522410498533185e-06,t/yr
BM,Kolan,Manag_Unit_48,PP,1.0937868599853573e-05,t/yr
BM,Mary,Manag_Unit_48,PP,0.0003639450716794897,t/yr
BU,Belyando,Manag_Unit_48,PP,-1.2810264363498192e-06,t/yr
BU,Black,Manag_Unit_48,PP,5.42796663528596e-08,t/yr
BU,Bowen Bogie,Manag_Unit_48,PP,0.0012323502593118217,t/yr
BU,Burdekin Delta,Manag_Unit_48,PP,3.2464201620195846e-05,t/yr
BU,Cape Campaspe,Manag_Unit_48,PP,-2.2862512377708792e-06,t/yr
BU,Don,Manag_Unit_48,PP,5.269281513279177e-05,t/yr
BU,East Burdekin,Manag_Unit_48,PP,0.00011125840794020122,t/yr
BU,Haughton,Manag_Unit_48,PP,8.878136166772588e-05,t/yr
BU,Ross,Manag_Unit_48,PP,1.0205772171602233e-06,t/yr
BU,Suttor,Manag_Unit_48,PP,1.5586156470108157e-06,t/yr
BU,Upper Burdekin,Manag_Unit_48,PP,0.00023576398762936983,t/yr
CY,Endeavour,Manag_Unit_48,PP,5.96373929022036e-06,t/yr
CY,Jacky Jacky,Manag_Unit_48,PP,0.0,t/yr
CY,Jeannie,Manag_Unit_48,PP,0.0,t/yr
CY,Lockhart,Manag_Unit_48,PP,0.0,t/yr
CY,Normanby,Manag_Unit_48,PP,6.197391216005599e-07,t/yr
CY,Olive Pascoe,Manag_Unit_48,PP,0.0,t/yr
CY,Stewart,Manag_Unit_48,PP,0.0,t/yr
FI,Boyne,Manag_Unit_48,PP,4.920258415334426e-09,t/yr
FI,Calliope,Manag_Unit_48,PP,3.666510125017647e-05,t/yr
FI,Comet,Manag_Unit_48,PP,1.950665122658677e-05,t/yr
FI,Dawson,Manag_Unit_48,PP,6.260286199251747e-05,t/yr
FI,Fitzroy,Manag_Unit_48,PP,0.0011945536376943568,t/yr
FI,Isaac,Manag_Unit_48,PP,3.8054326034625775e-05,t/yr
FI,Mackenzie,Manag_Unit_48,PP,-4.569867782033535e-06,t/yr
FI,Nogoa,Manag_Unit_48,PP,1.9474353134453537e-05,t/yr
FI,Shoalwater,Manag_Unit_48,PP,4.116984086977027e-13,t/yr
FI,Styx,Manag_Unit_48,PP,8.130761151790012e-07,t/yr
FI,Theresa,Manag_Unit_48,PP,4.919143683505093e-05,t/yr
FI,Water Park,Manag_Unit_48,PP,1.5866570806425765e-08,t/yr
MW,O-Connell,Manag_Unit_48,PP,0.00014528011530556454,t/yr
MW,Pioneer,Manag_Unit_48,PP,9.368534053969787e-06,t/yr
MW,Plane,Manag_Unit_48,PP,7.962351950121634e-06,t/yr
MW,Proserpine,Manag_Unit_48,PP,1.5397205575943928e-05,t/yr
WT,Barron,Manag_Unit_48,PP,4.916850103550511e-08,t/yr
WT,Daintree,Manag_Unit_48,PP,0.0,t/yr
WT,Johnstone,Manag_Unit_48,PP,1.4286414926410391e-05,t/yr
WT,Lower Herbert,Manag_Unit_48,PP,7.033380217717753e-05,t/yr
WT,Mossman,Manag_Unit_48,PP,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,PP,8.917583676624948e-07,t/yr
WT,Murray,Manag_Unit_48,PP,3.059451380077742e-06,t/yr
WT,Tully,Manag_Unit_48,PP,1.8223585569790165e-06,t/yr
WT,Upper Herbert,Manag_Unit_48,PP,-1.541980794485198e-06,t/yr
