Scenario,Region,Basin,FU,Constituent,LoadToRegExport,BasinScale,Units
PREDEV,CY,Jacky Jacky,Forestry,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,DOP,1.449631225743737,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,DOP,0.0051651818117112325,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Conservation,FS,32.367629593666976,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Cropping,FS,0.003336216973226267,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Forestry,FS,0.17826618276254438,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Grazing,FS,0.42535130853280306,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Horticulture,FS,0.0028601696770937,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Stream,FS,1.60211094626644,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Urban + Other,FS,0.032439817286841206,Manag_Unit_48,kt/yr
PREDEV,CY,Jeannie,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,PN,165.85696996236254,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,PN,0.002535939012917224,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,PN,2.408842885326013,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,PN,4.125504874740954,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,PN,0.0021740839774957166,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,PN,1.3228975286080866,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,PN,0.0036297294903633653,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,PP,96.16869751303474,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,PP,0.00060093435369009,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,PP,0.5575056025101072,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,PP,1.1678904762408095,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,PP,0.0005151865810769067,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,PP,0.73319613434278,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,PP,0.005297381187414568,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,DIN,27.74435421741764,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,DIN,0.006358137531916167,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,DIN,0.2749019114713997,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,DIN,3.4289713929744012,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,DIN,0.005450890132646667,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,DIN,0.06165762788697122,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,DON,156.30402475391278,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,DON,0.034930074481369665,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,DON,1.5050190261231537,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,DON,18.793633244881057,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,DON,0.029945876057340334,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,DON,0.3377260346090865,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,DIP,3.614563057646413,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,DIP,0.0008209287560156433,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,DIP,0.03545031789870347,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,DIP,0.4423612264704019,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,DIP,0.0007037898181140499,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,DIP,0.007952519278989913,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Bananas,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Conservation,DOP,10.354860107382295,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Cropping,DOP,0.00219997012229754,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Dairy,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Forestry,DOP,0.09410231455239937,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Grazing,DOP,1.1778382348771963,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Horticulture,DOP,0.0018860547453213032,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Stream,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Sugarcane,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jeannie,Urban + Other,DOP,0.021138442144509495,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Conservation,FS,17.057127720956487,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Cropping,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Forestry,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Grazing,FS,0.08776531276873903,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Horticulture,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Stream,FS,2.2368992222001203,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Urban + Other,FS,0.020893153289386294,Manag_Unit_48,kt/yr
PREDEV,CY,Lockhart,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,PN,80.4723394338783,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,PN,0.5131495200073987,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,PN,1.8038014942339275,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,PN,0.005319533063314569,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,PP,26.969712886490893,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,PP,0.11490482498971223,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,PP,0.9077015714988436,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,PP,0.001070939899512162,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,DIN,38.30432027240828,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,DIN,0.7429676314287923,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Stream,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Sugarcane,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Urban + Other,DIN,0.03978251576010343,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Bananas,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Conservation,DON,218.81817394553173,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Cropping,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Dairy,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Forestry,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Grazing,DON,4.412070367496725,Manag_Unit_48,t/yr
PREDEV,CY,Lockhart,Horticulture,DON,0.0,Manag_Unit_48,t/yr
