Region,Basin,BasinScale,Constituent,Anthropogenic,Units
FI,Boyne,Manag_Unit_48,DOP,6.061020656101664e-05,t/yr
FI,Calliope,Manag_Unit_48,DOP,4.025509510671605e-05,t/yr
FI,Comet,Manag_Unit_48,DOP,0.0003384747206575015,t/yr
FI,Dawson,Manag_Unit_48,DOP,0.0012705924737767863,t/yr
FI,Fitzroy,Manag_Unit_48,DOP,0.0005784049529510455,t/yr
FI,Isaac,Manag_Unit_48,DOP,0.00016473365551763558,t/yr
FI,Mackenzie,Manag_Unit_48,DOP,8.691518706763486e-05,t/yr
FI,Nogoa,Manag_Unit_48,DOP,0.00011666610562134171,t/yr
FI,Shoalwater,Manag_Unit_48,DOP,6.034210684994583e-07,t/yr
FI,Styx,Manag_Unit_48,DOP,3.20631352757924e-05,t/yr
FI,Theresa,Manag_Unit_48,DOP,7.858654500293846e-05,t/yr
FI,Water Park,Manag_Unit_48,DOP,6.180376403787285e-05,t/yr
MW,O-Connell,Manag_Unit_48,DOP,4.048319702809131e-05,t/yr
MW,Pioneer,Manag_Unit_48,DOP,0.00013980836396109008,t/yr
MW,Plane,Manag_Unit_48,DOP,0.0007877606178116352,t/yr
MW,Proserpine,Manag_Unit_48,DOP,0.00012700775578571418,t/yr
WT,Barron,Manag_Unit_48,DOP,0.0002192077038298282,t/yr
WT,Daintree,Manag_Unit_48,DOP,3.4108292030841626e-05,t/yr
WT,Johnstone,Manag_Unit_48,DOP,0.00144395701462086,t/yr
WT,Lower Herbert,Manag_Unit_48,DOP,0.0001570778190855177,t/yr
WT,Mossman,Manag_Unit_48,DOP,1.4943163304299566e-05,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DOP,0.0006832027369796049,t/yr
WT,Murray,Manag_Unit_48,DOP,0.0002003257544540753,t/yr
WT,Tully,Manag_Unit_48,DOP,0.000992078240528401,t/yr
WT,Upper Herbert,Manag_Unit_48,DOP,0.0001498611509670572,t/yr
BM,Baffle,Manag_Unit_48,FS,5.850799088293807e-07,kt/yr
BM,Burnett,Manag_Unit_48,FS,6.5837664995660925e-06,kt/yr
BM,Burrum,Manag_Unit_48,FS,2.626892197646623e-07,kt/yr
BM,Kolan,Manag_Unit_48,FS,1.1183037967119786e-06,kt/yr
BM,Mary,Manag_Unit_48,FS,7.465845141482756e-06,kt/yr
BU,Belyando,Manag_Unit_48,FS,7.795185402451691e-07,kt/yr
BU,Black,Manag_Unit_48,FS,8.532568444571668e-07,kt/yr
BU,Bowen Bogie,Manag_Unit_48,FS,4.958831500959174e-05,kt/yr
BU,Burdekin Delta,Manag_Unit_48,FS,8.55381634149814e-07,kt/yr
BU,Cape Campaspe,Manag_Unit_48,FS,1.4333060849953304e-06,kt/yr
BU,Don,Manag_Unit_48,FS,4.268948061471331e-06,kt/yr
BU,East Burdekin,Manag_Unit_48,FS,3.0590632045424505e-06,kt/yr
BU,Haughton,Manag_Unit_48,FS,2.662311387510447e-06,kt/yr
BU,Ross,Manag_Unit_48,FS,8.240565612287446e-07,kt/yr
BU,Suttor,Manag_Unit_48,FS,9.823619470453006e-07,kt/yr
BU,Upper Burdekin,Manag_Unit_48,FS,3.220431909753872e-05,kt/yr
CY,Endeavour,Manag_Unit_48,FS,1.1576374623452276e-06,kt/yr
CY,Jacky Jacky,Manag_Unit_48,FS,4.1504126927774364e-08,kt/yr
CY,Jeannie,Manag_Unit_48,FS,5.881057680539717e-07,kt/yr
CY,Lockhart,Manag_Unit_48,FS,9.836761474048536e-08,kt/yr
CY,Normanby,Manag_Unit_48,FS,2.726787907338847e-06,kt/yr
CY,Olive Pascoe,Manag_Unit_48,FS,4.866087938992355e-07,kt/yr
CY,Stewart,Manag_Unit_48,FS,1.0236449235515721e-07,kt/yr
FI,Boyne,Manag_Unit_48,FS,1.6180411593887094e-07,kt/yr
FI,Calliope,Manag_Unit_48,FS,9.472768485416507e-07,kt/yr
FI,Comet,Manag_Unit_48,FS,4.807016913634937e-06,kt/yr
FI,Dawson,Manag_Unit_48,FS,1.2769149676409131e-05,kt/yr
FI,Fitzroy,Manag_Unit_48,FS,6.230863071433086e-06,kt/yr
FI,Isaac,Manag_Unit_48,FS,6.551666094378334e-06,kt/yr
FI,Mackenzie,Manag_Unit_48,FS,4.774827399658907e-06,kt/yr
FI,Nogoa,Manag_Unit_48,FS,1.0434989144411582e-06,kt/yr
FI,Shoalwater,Manag_Unit_48,FS,7.952617713098335e-07,kt/yr
FI,Styx,Manag_Unit_48,FS,1.6940273699170807e-06,kt/yr
FI,Theresa,Manag_Unit_48,FS,1.5833584931187884e-06,kt/yr
FI,Water Park,Manag_Unit_48,FS,1.310335678546448e-07,kt/yr
MW,O-Connell,Manag_Unit_48,FS,5.890702976256974e-06,kt/yr
MW,Pioneer,Manag_Unit_48,FS,2.4551242842724295e-06,kt/yr
MW,Plane,Manag_Unit_48,FS,2.0484316412414595e-06,kt/yr
MW,Proserpine,Manag_Unit_48,FS,6.884095700572112e-07,kt/yr
WT,Barron,Manag_Unit_48,FS,1.9021792765000507e-06,kt/yr
