Region,Basin,BasinScale,Constituent,Reduction,Units
MW,Pioneer,Manag_Unit_48,PN,0.00010935643426480321,t/yr
MW,Plane,Manag_Unit_48,PN,0.00016860141002647804,t/yr
MW,Proserpine,Manag_Unit_48,PN,2.9626939625021955e-05,t/yr
WT,Barron,Manag_Unit_48,PN,1.9979510460264767e-07,t/yr
WT,Daintree,Manag_Unit_48,PN,0.0,t/yr
WT,Johnstone,Manag_Unit_48,PN,5.1144932323139376e-05,t/yr
WT,Lower Herbert,Manag_Unit_48,PN,0.00024734437534914,t/yr
WT,Mossman,Manag_Unit_48,PN,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,PN,8.745239364001615e-06,t/yr
WT,Murray,Manag_Unit_48,PN,2.0297235469085232e-05,t/yr
WT,Tully,Manag_Unit_48,PN,6.154322612114053e-06,t/yr
WT,Upper Herbert,Manag_Unit_48,PN,0.0,t/yr
BM,Baffle,Manag_Unit_48,PP,2.357926096043646e-07,t/yr
BM,Burnett,Manag_Unit_48,PP,5.528432697097969e-05,t/yr
BM,Burrum,Manag_Unit_48,PP,8.283361614601858e-06,t/yr
BM,Kolan,Manag_Unit_48,PP,1.1732801213857159e-05,t/yr
BM,Mary,Manag_Unit_48,PP,0.0006038846475535744,t/yr
BU,Belyando,Manag_Unit_48,PP,9.551633126292814e-07,t/yr
BU,Black,Manag_Unit_48,PP,5.50026146890777e-08,t/yr
BU,Bowen Bogie,Manag_Unit_48,PP,0.0013130473158213818,t/yr
BU,Burdekin Delta,Manag_Unit_48,PP,3.2749928565000865e-05,t/yr
BU,Cape Campaspe,Manag_Unit_48,PP,1.349467682362615e-06,t/yr
BU,Don,Manag_Unit_48,PP,5.270387566442594e-05,t/yr
BU,East Burdekin,Manag_Unit_48,PP,0.0001199679817884037,t/yr
BU,Haughton,Manag_Unit_48,PP,8.945661744420193e-05,t/yr
BU,Ross,Manag_Unit_48,PP,7.636616145710207e-06,t/yr
BU,Suttor,Manag_Unit_48,PP,1.1526317946848509e-05,t/yr
BU,Upper Burdekin,Manag_Unit_48,PP,0.00094365210413301,t/yr
CY,Endeavour,Manag_Unit_48,PP,6.010453911361442e-06,t/yr
CY,Jacky Jacky,Manag_Unit_48,PP,0.0,t/yr
CY,Jeannie,Manag_Unit_48,PP,0.0,t/yr
CY,Lockhart,Manag_Unit_48,PP,0.0,t/yr
CY,Normanby,Manag_Unit_48,PP,2.499028196323631e-06,t/yr
CY,Olive Pascoe,Manag_Unit_48,PP,0.0,t/yr
CY,Stewart,Manag_Unit_48,PP,0.0,t/yr
FI,Boyne,Manag_Unit_48,PP,1.0596042360475621e-07,t/yr
FI,Calliope,Manag_Unit_48,PP,4.75649616924881e-05,t/yr
FI,Comet,Manag_Unit_48,PP,6.103796804064056e-05,t/yr
FI,Dawson,Manag_Unit_48,PP,0.0001778876601947142,t/yr
FI,Fitzroy,Manag_Unit_48,PP,0.0012709417652330482,t/yr
FI,Isaac,Manag_Unit_48,PP,0.00012910476943167547,t/yr
FI,Mackenzie,Manag_Unit_48,PP,1.258003340812858e-05,t/yr
FI,Nogoa,Manag_Unit_48,PP,3.977560546657628e-05,t/yr
FI,Shoalwater,Manag_Unit_48,PP,4.116984086977027e-13,t/yr
FI,Styx,Manag_Unit_48,PP,8.130779788679377e-07,t/yr
FI,Theresa,Manag_Unit_48,PP,8.552266366800392e-05,t/yr
FI,Water Park,Manag_Unit_48,PP,1.6041011885548073e-08,t/yr
MW,O-Connell,Manag_Unit_48,PP,0.00015609830632902136,t/yr
MW,Pioneer,Manag_Unit_48,PP,1.0985000316608761e-05,t/yr
MW,Plane,Manag_Unit_48,PP,8.826230206855712e-06,t/yr
MW,Proserpine,Manag_Unit_48,PP,2.3803352846218456e-05,t/yr
WT,Barron,Manag_Unit_48,PP,5.510365002692197e-08,t/yr
WT,Daintree,Manag_Unit_48,PP,0.0,t/yr
WT,Johnstone,Manag_Unit_48,PP,1.5295762623202336e-05,t/yr
WT,Lower Herbert,Manag_Unit_48,PP,7.324236557419396e-05,t/yr
WT,Mossman,Manag_Unit_48,PP,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,PP,1.129904508205944e-06,t/yr
WT,Murray,Manag_Unit_48,PP,3.0786417978016324e-06,t/yr
WT,Tully,Manag_Unit_48,PP,1.8364961416035423e-06,t/yr
WT,Upper Herbert,Manag_Unit_48,PP,0.0,t/yr
