Region,Basin,BasinScale,Constituent,Anthropogenic,Units
BU,Black,Basin_35,PN,0.001152127219455229,t/yr
BU,Burdekin,Basin_35,PN,0.1708200599671753,t/yr
BU,Don,Basin_35,PN,0.00785227920905212,t/yr
BU,Haughton,Basin_35,PN,0.006450753990422161,t/yr
BU,Ross,Basin_35,PN,0.002339474415130815,t/yr
CY,Endeavour,Basin_35,PN,0.0030000231842186604,t/yr
CY,Jacky Jacky,Basin_35,PN,0.0006103404637460841,t/yr
CY,Jeannie,Basin_35,PN,0.0010595955109625615,t/yr
CY,Lockhart,Basin_35,PN,6.383978234614176e-05,t/yr
CY,Normanby,Basin_35,PN,0.00941805217487667,t/yr
CY,Olive Pascoe,Basin_35,PN,0.0017355878488731341,t/yr
CY,Stewart,Basin_35,PN,9.617053345703066e-05,t/yr
FI,Boyne,Basin_35,PN,0.003555829254256105,t/yr
FI,Calliope,Basin_35,PN,0.003146711251678847,t/yr
FI,Fitzroy,Basin_35,PN,0.09946706502091811,t/yr
FI,Shoalwater,Basin_35,PN,0.001224925390448163,t/yr
FI,Styx,Basin_35,PN,0.003718267286578341,t/yr
FI,Water Park,Basin_35,PN,0.00033659554372493663,t/yr
MW,O-Connell,Basin_35,PN,0.020721111929522782,t/yr
MW,Pioneer,Basin_35,PN,0.010265519659783083,t/yr
MW,Plane,Basin_35,PN,0.01654683518012467,t/yr
MW,Proserpine,Basin_35,PN,0.0027887517168170305,t/yr
WT,Barron,Basin_35,PN,0.0124163363548101,t/yr
WT,Daintree,Basin_35,PN,0.009507337596392957,t/yr
WT,Herbert,Basin_35,PN,0.021524714031324377,t/yr
WT,Johnstone,Basin_35,PN,0.039077227335596924,t/yr
WT,Mossman,Basin_35,PN,0.0008337298913683218,t/yr
WT,Mulgrave-Russell,Basin_35,PN,0.008543677925481379,t/yr
WT,Murray,Basin_35,PN,0.0024920965042333756,t/yr
WT,Tully,Basin_35,PN,0.006009997651386148,t/yr
BM,Baffle,Basin_35,PP,0.0013763850760704587,t/yr
BM,Burnett,Basin_35,PP,0.024682936121576602,t/yr
BM,Burrum,Basin_35,PP,0.000410189978974495,t/yr
BM,Kolan,Basin_35,PP,0.00211613663905532,t/yr
BM,Mary,Basin_35,PP,0.01113024632404535,t/yr
BU,Black,Basin_35,PP,0.0005320523177841195,t/yr
BU,Burdekin,Basin_35,PP,0.12102954971997741,t/yr
BU,Don,Basin_35,PP,0.0030483018006614276,t/yr
BU,Haughton,Basin_35,PP,0.002531207559472138,t/yr
BU,Ross,Basin_35,PP,0.0016428088472450575,t/yr
CY,Endeavour,Basin_35,PP,0.0008773518617482499,t/yr
CY,Jacky Jacky,Basin_35,PP,9.128543440832999e-05,t/yr
CY,Jeannie,Basin_35,PP,0.0003487233064272881,t/yr
CY,Lockhart,Basin_35,PP,1.9272414218060044e-05,t/yr
CY,Normanby,Basin_35,PP,0.0034323560531523147,t/yr
CY,Olive Pascoe,Basin_35,PP,0.000300961958981118,t/yr
CY,Stewart,Basin_35,PP,3.087744830124019e-05,t/yr
FI,Boyne,Basin_35,PP,0.001508994119075326,t/yr
FI,Calliope,Basin_35,PP,0.0014594442230418476,t/yr
FI,Fitzroy,Basin_35,PP,0.05752604122606031,t/yr
FI,Shoalwater,Basin_35,PP,0.0003828713231636093,t/yr
FI,Styx,Basin_35,PP,0.0012751117697150473,t/yr
FI,Water Park,Basin_35,PP,0.00011309108829055894,t/yr
MW,O-Connell,Basin_35,PP,0.005293203154461781,t/yr
MW,Pioneer,Basin_35,PP,0.0022644338756579838,t/yr
MW,Plane,Basin_35,PP,0.0026521460212050266,t/yr
MW,Proserpine,Basin_35,PP,0.0008723873659233174,t/yr
WT,Barron,Basin_35,PP,0.005411508138081508,t/yr
WT,Daintree,Basin_35,PP,0.0017365878450892496,t/yr
WT,Herbert,Basin_35,PP,0.006123392751178605,t/yr
WT,Johnstone,Basin_35,PP,0.016874477496523554,t/yr
WT,Mossman,Basin_35,PP,0.00038345160308927084,t/yr
WT,Mulgrave-Russell,Basin_35,PP,0.0026738557664370594,t/yr
WT,Murray,Basin_35,PP,0.0005951370918809987,t/yr
WT,Tully,Basin_35,PP,0.0021439773573441647,t/yr
