Region,Basin,BasinScale,Constituent,PercentReduction,Units
MW,O-Connell,Basin_35,PP,2.9490329725478603,%
MW,Pioneer,Basin_35,PP,0.4851102270944792,%
MW,Plane,Basin_35,PP,0.33279578636644724,%
MW,Proserpine,Basin_35,PP,2.728530212152426,%
WT,Barron,Basin_35,PP,0.0010182678953977768,%
WT,Daintree,Basin_35,PP,0.0,%
WT,Herbert,Basin_35,PP,1.1961075918264028,%
WT,Johnstone,Basin_35,PP,0.09064436292236921,%
WT,Mossman,Basin_35,PP,0.0,%
WT,Mulgrave-Russell,Basin_35,PP,0.042257496548198395,%
WT,Murray,Basin_35,PP,0.5172996003443902,%
WT,Tully,Basin_35,PP,0.0856583739241765,%
