Source,MetricType,Scenario,Level,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,BASE,Region,WT,,Urban + Other,FS,,report,12.2383043965339
FU,FU,BASE,Region,WT,,Bananas,PN,,report,38.58358604712525
FU,FU,BASE,Region,WT,,Conservation,PN,,report,2354.5641656361504
FU,FU,BASE,Region,WT,,Cropping,PN,,report,55.80678594970276
FU,FU,BASE,Region,WT,,Dairy,PN,,report,66.84645497917168
FU,FU,BASE,Region,WT,,Forestry,PN,,report,90.54858986059617
FU,FU,BASE,Region,WT,,Grazing,PN,,report,1720.8556284391639
FU,FU,BASE,Region,WT,,Horticulture,PN,,report,64.07635819086957
FU,FU,BASE,Region,WT,,Stream,PN,,report,639.7929294319773
FU,FU,BASE,Region,WT,,Sugarcane,PN,,report,516.7289688967727
FU,FU,BASE,Region,WT,,Urban + Other,PN,,report,38.70891426571375
FU,FU,BASE,Region,WT,,Bananas,PP,,report,32.099485054339056
FU,FU,BASE,Region,WT,,Conservation,PP,,report,364.32300130614266
FU,FU,BASE,Region,WT,,Cropping,PP,,report,29.344335044769878
FU,FU,BASE,Region,WT,,Dairy,PP,,report,29.807520084204906
FU,FU,BASE,Region,WT,,Forestry,PP,,report,14.67203493618926
FU,FU,BASE,Region,WT,,Grazing,PP,,report,437.9266951067288
FU,FU,BASE,Region,WT,,Horticulture,PP,,report,28.985689873372507
FU,FU,BASE,Region,WT,,Stream,PP,,report,380.6995240602688
FU,FU,BASE,Region,WT,,Sugarcane,PP,,report,161.59486024027717
FU,FU,BASE,Region,WT,,Urban + Other,PP,,report,8.416135526720593
FU,FU,CHANGE,Region,BM,,Bananas,DIN,,report,0.0
FU,FU,CHANGE,Region,BM,,Conservation,DIN,,report,55.611267256206354
FU,FU,CHANGE,Region,BM,,Cropping,DIN,,report,16.41601358429441
FU,FU,CHANGE,Region,BM,,Dairy,DIN,,report,2.3642865343506045
FU,FU,CHANGE,Region,BM,,Forestry,DIN,,report,52.20240594423016
FU,FU,CHANGE,Region,BM,,Grazing,DIN,,report,334.6765408178508
FU,FU,CHANGE,Region,BM,,Horticulture,DIN,,report,79.26499722140824
FU,FU,CHANGE,Region,BM,,Stream,DIN,,report,23.54414826224069
FU,FU,CHANGE,Region,BM,,Sugarcane,DIN,,report,179.72909963403498
FU,FU,CHANGE,Region,BM,,Urban + Other,DIN,,report,117.67278444890947
FU,FU,CHANGE,Region,BM,,Bananas,FS,,report,0.0
FU,FU,CHANGE,Region,BM,,Conservation,FS,,report,12.702284913986118
FU,FU,CHANGE,Region,BM,,Cropping,FS,,report,3.795357677863397
FU,FU,CHANGE,Region,BM,,Dairy,FS,,report,1.7813079765507942
FU,FU,CHANGE,Region,BM,,Forestry,FS,,report,9.484414376464938
FU,FU,CHANGE,Region,BM,,Grazing,FS,,report,189.5323529897644
FU,FU,CHANGE,Region,BM,,Horticulture,FS,,report,7.8785558733986205
FU,FU,CHANGE,Region,BM,,Stream,FS,,report,347.87338635375284
FU,FU,CHANGE,Region,BM,,Sugarcane,FS,,report,4.878633839550194
FU,FU,CHANGE,Region,BM,,Urban + Other,FS,,report,13.040962291076207
FU,FU,CHANGE,Region,BM,,Bananas,PN,,report,0.0
FU,FU,CHANGE,Region,BM,,Conservation,PN,,report,69.06265343451231
