SUBCAT,Basin_35,Manag_Unit_48
SC #363,Normanby River,Normanby River
SC #130,Lockhart River,Lockhart River
SC #361,Normanby River,Normanby River
SC #330,Normanby River,Normanby River
SC #173,Stewart River,Stewart River
SC #147,Stewart River,Stewart River
SC #150,Stewart River,Stewart River
SC #157,Stewart River,Stewart River
SC #108,Lockhart River,Lockhart River
SC #153,Stewart River,Stewart River
SC #182,Normanby River,Normanby River
SC #21,Stewart River,Stewart River
SC #437,Normanby River,Normanby River
SC #163,Stewart River,Stewart River
SC #358,Normanby River,Normanby River
SC #252,Normanby River,Normanby River
SC #137,Lockhart River,Lockhart River
SC #131,Lockhart River,Lockhart River
SC #139,Lockhart River,Lockhart River
SC #51,Lockhart River,Lockhart River
SC #15,Lockhart River,Lockhart River
SC #440,Normanby River,Normanby River
SC #162,Stewart River,Stewart River
SC #353,Normanby River,Normanby River
SC #192,Normanby River,Normanby River
SC #429,Normanby River,Normanby River
SC #191,Normanby River,Normanby River
SC #18,Stewart River,Stewart River
SC #299,Normanby River,Normanby River
SC #165,Stewart River,Stewart River
SC #17,Lockhart River,Lockhart River
SC #141,Lockhart River,Lockhart River
SC #143,Lockhart River,Lockhart River
SC #279,Normanby River,Normanby River
SC #407,Normanby River,Normanby River
SC #174,Stewart River,Stewart River
SC #332,Normanby River,Normanby River
SC #362,Normanby River,Normanby River
SC #19,Stewart River,Stewart River
SC #387,Normanby River,Normanby River
SC #425,Normanby River,Normanby River
SC #280,Normanby River,Normanby River
SC #20,Stewart River,Stewart River
SC #223,Normanby River,Normanby River
SC #221,Normanby River,Normanby River
SC #200,Normanby River,Normanby River
SC #167,Stewart River,Stewart River
SC #177,Stewart River,Stewart River
SC #314,Normanby River,Normanby River
SC #267,Normanby River,Normanby River
SC #166,Stewart River,Stewart River
SC #16,Lockhart River,Lockhart River
SC #253,Normanby River,Normanby River
SC #171,Stewart River,Stewart River
SC #327,Normanby River,Normanby River
SC #206,Normanby River,Normanby River
SC #220,Normanby River,Normanby River
SC #436,Normanby River,Normanby River
SC #268,Normanby River,Normanby River
SC #160,Stewart River,Stewart River
SC #179,Stewart River,Stewart River
SC #158,Stewart River,Stewart River
SC #466,Normanby River,Normanby River
SC #22,Stewart River,Stewart River
SC #445,Normanby River,Normanby River
SC #370,Normanby River,Normanby River
SC #201,Normanby River,Normanby River
SC #23,Stewart River,Stewart River
SC #24,Stewart River,Stewart River
SC #408,Normanby River,Normanby River
SC #251,Normanby River,Normanby River
SC #328,Normanby River,Normanby River
SC #504,Normanby River,Normanby River
SC #198,Normanby River,Normanby River
SC #485,Normanby River,Normanby River
SC #446,Normanby River,Normanby River
SC #245,Normanby River,Normanby River
SC #323,Normanby River,Normanby River
SC #175,Stewart River,Stewart River
SC #183,Normanby River,Normanby River
SC #516,Normanby River,Normanby River
SC #427,Normanby River,Normanby River
SC #32,Normanby River,Normanby River
SC #491,Normanby River,Normanby River
SC #25,Stewart River,Stewart River
SC #211,Normanby River,Normanby River
SC #501,Normanby River,Normanby River
SC #27,Normanby River,Normanby River
SC #248,Normanby River,Normanby River
SC #415,Normanby River,Normanby River
SC #317,Normanby River,Normanby River
SC #392,Normanby River,Normanby River
SC #218,Normanby River,Normanby River
SC #238,Normanby River,Normanby River
SC #250,Normanby River,Normanby River
SC #255,Normanby River,Normanby River
SC #390,Normanby River,Normanby River
SC #305,Normanby River,Normanby River
SC #307,Normanby River,Normanby River
SC #400,Normanby River,Normanby River
SC #320,Normanby River,Normanby River
SC #254,Normanby River,Normanby River
SC #422,Normanby River,Normanby River
SC #426,Normanby River,Normanby River
SC #508,Normanby River,Normanby River
SC #35,Normanby River,Normanby River
SC #241,Normanby River,Normanby River
SC #196,Normanby River,Normanby River
SC #213,Normanby River,Normanby River
SC #210,Normanby River,Normanby River
SC #342,Normanby River,Normanby River
SC #306,Normanby River,Normanby River
SC #394,Normanby River,Normanby River
SC #226,Normanby River,Normanby River
SC #227,Normanby River,Normanby River
SC #36,Normanby River,Normanby River
SC #498,Normanby River,Normanby River
SC #304,Normanby River,Normanby River
SC #281,Normanby River,Normanby River
SC #479,Normanby River,Normanby River
SC #261,Normanby River,Normanby River
SC #478,Normanby River,Normanby River
SC #458,Normanby River,Normanby River
SC #216,Normanby River,Normanby River
SC #471,Normanby River,Normanby River
SC #509,Normanby River,Normanby River
SC #530,Normanby River,Normanby River
SC #343,Normanby River,Normanby River
SC #292,Normanby River,Normanby River
SC #473,Normanby River,Normanby River
SC #411,Normanby River,Normanby River
SC #506,Normanby River,Normanby River
SC #497,Normanby River,Normanby River
SC #311,Normanby River,Normanby River
SC #523,Normanby River,Normanby River
SC #209,Normanby River,Normanby River
SC #262,Normanby River,Normanby River
SC #406,Normanby River,Normanby River
SC #37,Normanby River,Normanby River
SC #395,Normanby River,Normanby River
SC #301,Normanby River,Normanby River
SC #430,Normanby River,Normanby River
SC #242,Normanby River,Normanby River
SC #224,Normanby River,Normanby River
SC #204,Normanby River,Normanby River
SC #217,Normanby River,Normanby River
SC #364,Normanby River,Normanby River
SC #246,Normanby River,Normanby River
SC #459,Normanby River,Normanby River
SC #212,Normanby River,Normanby River
SC #288,Normanby River,Normanby River
SC #316,Normanby River,Normanby River
SC #469,Normanby River,Normanby River
SC #448,Normanby River,Normanby River
SC #472,Normanby River,Normanby River
SC #296,Normanby River,Normanby River
SC #34,Normanby River,Normanby River
SC #367,Normanby River,Normanby River
SC #302,Normanby River,Normanby River
SC #259,Normanby River,Normanby River
SC #289,Normanby River,Normanby River
SC #326,Normanby River,Normanby River
SC #258,Normanby River,Normanby River
SC #333,Normanby River,Normanby River
SC #310,Normanby River,Normanby River
SC #308,Normanby River,Normanby River
SC #203,Normanby River,Normanby River
SC #447,Normanby River,Normanby River
SC #431,Normanby River,Normanby River
SC #417,Normanby River,Normanby River
SC #389,Normanby River,Normanby River
SC #399,Normanby River,Normanby River
SC #480,Normanby River,Normanby River
SC #194,Normanby River,Normanby River
SC #391,Normanby River,Normanby River
SC #534,Normanby River,Normanby River
SC #329,Normanby River,Normanby River
SC #467,Normanby River,Normanby River
SC #331,Normanby River,Normanby River
SC #347,Normanby River,Normanby River
SC #376,Normanby River,Normanby River
SC #33,Normanby River,Normanby River
SC #274,Normanby River,Normanby River
SC #247,Normanby River,Normanby River
SC #188,Normanby River,Normanby River
SC #384,Normanby River,Normanby River
SC #313,Normanby River,Normanby River
SC #263,Normanby River,Normanby River
SC #341,Normanby River,Normanby River
SC #457,Normanby River,Normanby River
SC #31,Normanby River,Normanby River
SC #451,Normanby River,Normanby River
SC #381,Normanby River,Normanby River
SC #282,Normanby River,Normanby River
SC #404,Normanby River,Normanby River
SC #186,Normanby River,Normanby River
SC #318,Normanby River,Normanby River
SC #482,Normanby River,Normanby River
SC #28,Normanby River,Normanby River
SC #535,Normanby River,Normanby River
SC #375,Normanby River,Normanby River
SC #52,Jeannie River,Jeannie River
SC #231,Normanby River,Normanby River
SC #195,Normanby River,Normanby River
SC #373,Normanby River,Normanby River
SC #321,Normanby River,Normanby River
SC #237,Normanby River,Normanby River
SC #297,Normanby River,Normanby River
SC #379,Normanby River,Normanby River
SC #380,Normanby River,Normanby River
SC #510,Normanby River,Normanby River
SC #243,Normanby River,Normanby River
SC #348,Normanby River,Normanby River
SC #236,Normanby River,Normanby River
SC #372,Normanby River,Normanby River
SC #335,Normanby River,Normanby River
SC #185,Jeannie River,Jeannie River
SC #489,Normanby River,Normanby River
SC #271,Normanby River,Normanby River
SC #402,Normanby River,Normanby River
SC #403,Normanby River,Normanby River
SC #294,Normanby River,Normanby River
SC #225,Normanby River,Normanby River
SC #398,Normanby River,Normanby River
SC #234,Normanby River,Normanby River
SC #205,Normanby River,Normanby River
SC #462,Normanby River,Normanby River
SC #340,Normanby River,Normanby River
SC #352,Normanby River,Normanby River
SC #228,Normanby River,Normanby River
SC #344,Normanby River,Normanby River
SC #229,Normanby River,Normanby River
SC #496,Normanby River,Normanby River
SC #199,Normanby River,Normanby River
SC #452,Normanby River,Normanby River
SC #285,Normanby River,Normanby River
SC #232,Normanby River,Normanby River
SC #512,Normanby River,Normanby River
SC #484,Normanby River,Normanby River
SC #487,Normanby River,Normanby River
SC #454,Normanby River,Normanby River
SC #219,Normanby River,Normanby River
SC #29,Jeannie River,Jeannie River
SC #461,Normanby River,Normanby River
SC #444,Normanby River,Normanby River
SC #503,Normanby River,Normanby River
SC #270,Normanby River,Normanby River
SC #189,Jeannie River,Jeannie River
SC #397,Normanby River,Normanby River
SC #349,Normanby River,Normanby River
SC #360,Normanby River,Normanby River
SC #401,Normanby River,Normanby River
SC #443,Normanby River,Normanby River
SC #315,Normanby River,Normanby River
SC #416,Normanby River,Normanby River
SC #521,Normanby River,Normanby River
SC #181,Jeannie River,Jeannie River
SC #388,Normanby River,Normanby River
SC #418,Normanby River,Normanby River
SC #322,Normanby River,Normanby River
SC #494,Normanby River,Normanby River
SC #309,Normanby River,Normanby River
SC #507,Normanby River,Normanby River
SC #286,Normanby River,Normanby River
SC #463,Normanby River,Normanby River
SC #409,Normanby River,Normanby River
SC #420,Normanby River,Normanby River
SC #214,Jeannie River,Jeannie River
SC #269,Normanby River,Normanby River
SC #291,Normanby River,Normanby River
SC #26,Jeannie River,Jeannie River
SC #470,Normanby River,Normanby River
SC #365,Normanby River,Normanby River
