ModelElement,Basin_35,Manag_Unit_48
138014A,Mary,Mary
138009A,Mary,Mary
138903A,Mary,Mary
137304A,Burrum,Burrum
137201A,Burrum,Burrum
137103A,Burrum,Burrum
Outlet Node45,Burrum,Burrum
Outlet Node49,Burrum,Burrum
Outlet Node39,Burnett,Burnett
Outlet Node41,Burnett,Burnett
Outlet Node54,Mary,Mary
Outlet Node36,Baffle,Baffle
Outlet Node50,Burrum,Burrum
Outlet Node53,Mary,Mary
Node on catchment SC #371,Burnett,Burnett
Node on catchment SC #368,Burnett,Burnett
Node on catchment SC #367,Burnett,Burnett
Node on catchment SC #374,Burnett,Burnett
Outlet Node52,Mary,Mary
Outlet Node30,Baffle,Baffle
Node on catchment SC #27,Baffle,Baffle
Node on catchment SC #253,Burnett,Burnett
Node on catchment SC #10,Baffle,Baffle
Node on catchment SC #81,Burnett,Burnett
Node on catchment SC #453,Burrum,Burrum
Node on catchment SC #569,Kolan,Kolan
Node on catchment SC #72,Burnett,Burnett
Node on catchment SC #73,Burnett,Burnett
Node on catchment SC #349,Burnett,Burnett
Node on catchment SC #600,Burnett,Burnett
Node on catchment SC #611,Burnett,Burnett
Node on catchment SC #382,Burnett,Burnett
Node on catchment SC #599,Kolan,Kolan
Node on catchment SC #277,Burnett,Burnett
135002A,Kolan,Kolan
Node on catchment SC #272,Burnett,Burnett
Node on catchment SC #275,Burnett,Burnett
Node on catchment SC #570,Burnett,Burnett
Node on catchment SC #65,Kolan,Kolan
Node on catchment SC #633,Mary,Mary
Node on catchment SC #20,Baffle,Baffle
Node on catchment SC #223,Burnett,Burnett
Node on catchment SC #475,Mary,Mary
Node on catchment SC #476,Mary,Mary
Node on catchment SC #472,Mary,Mary
Node on catchment SC #469,Mary,Mary
Node on catchment SC #471,Mary,Mary
Node on catchment SC #573,Kolan,Kolan
Node on catchment SC #45,Kolan,Kolan
Node on catchment SC #590,Kolan,Kolan
Node on catchment SC #92,Burnett,Burnett
Cania Dam,Burnett,Burnett
Node on catchment SC #191,Burnett,Burnett
Node on catchment SC #194,Burnett,Burnett
Node on catchment SC #279,Burnett,Burnett
Node on catchment SC #206,Burnett,Burnett
Node on catchmen SC #581,Mary,Mary
Node on catchment SC #40,Kolan,Kolan
Node on catchment SC #82,Burnett,Burnett
Node on catchment SC #591,Burnett,Burnett
Node on catchment SC #616,Burnett,Burnett
Node on catchment SC #179,Burnett,Burnett
Node on catchment SC #615,Burnett,Burnett
Node on catchment SC #183,Burnett,Burnett
137303A,Burrum,Burrum
Node on catchment SC #119,Burnett,Burnett
Node on catchment SC #118,Burnett,Burnett
Node on catchment SC #122,Burnett,Burnett
Node on catchment SC #123,Burnett,Burnett
Outlet Node27,Baffle,Baffle
Node on catchmen SC #586,Burnett,Burnett
Node on catchment SC #7,Baffle,Baffle
Outlet Node1,Baffle,Baffle
Node on catchment SC #327,Burnett,Burnett
Outlet Node3,Baffle,Baffle
Outlet Node2,Baffle,Baffle
Outlet Node5,Baffle,Baffle
Outlet Node4,Baffle,Baffle
Node on catchment SC #5,Baffle,Baffle
Node on catchment SC #160,Burnett,Burnett
Wuruma Dam,Burnett,Burnett
Node on catchment SC #639,Mary,Mary
Node on catchment SC #505,Mary,Mary
Node on catchment SC #586,Burnett,Burnett
Node on catchment SC #75,Burnett,Burnett
Node on catchment SC #527,Mary,Mary
Node on catchment SC #132,Burnett,Burnett
Node on catchment SC #504,Mary,Mary
Node on catchment SC #503,Mary,Mary
Node on catchment SC #97,Burnett,Burnett
Node on catchment SC #87,Burnett,Burnett
Node on catchment SC #281,Burnett,Burnett
Outlet Node10,Kolan,Kolan
Node on catchment SC #12,Baffle,Baffle
Outlet Node8,Baffle,Baffle
Node on catchment SC #601,Baffle,Baffle
Node on catchment SC #635,Mary,Mary
Ned Churchward Weir_MFR,Burnett,Burnett
Node on catchment SC #78,Burnett,Burnett
Node on catchment SC #468,Mary,Mary
136019A,Burnett,Burnett
Node on catchment SC #422,Burnett,Burnett
136001B,Burnett,Burnett
Node on catchment SC #603,Burnett,Burnett
Node on catchment SC #358,Burnett,Burnett
Outlet Node32,Baffle,Baffle
Node on catchment SC #606,Burnett,Burnett
137003A,Burrum,Burrum
136022A,Burnett,Burnett
136118A,Burnett,Burnett
136112A,Burnett,Burnett
136111A,Burnett,Burnett
136108A,Burnett,Burnett
136101C,Burnett,Burnett
136103B,Burnett,Burnett
136106A,Burnett,Burnett
136305A,Burnett,Burnett
Node on catchment SC #284,Burnett,Burnett
Outlet Node51,Burrum,Burrum
Outlet Node46,Burrum,Burrum
Outlet Node43,Burrum,Burrum
Outlet Node44,Burrum,Burrum
Outlet Node40,Burnett,Burnett
Outlet Node42,Burrum,Burrum
Outlet Node37,Kolan,Kolan
Outlet Node38,Kolan,Kolan
Node on catchment SC #360,Burnett,Burnett
Node on catchment SC #364,Burnett,Burnett
Outlet Node47,Burrum,Burrum
Outlet Node48,Burrum,Burrum
Outlet Node33,Baffle,Baffle
Bucca Weir_MFR,Kolan,Kolan
Node on catchment SC #49,Kolan,Kolan
Node on catchment SC #467,Mary,Mary
Bucca Weir,Kolan,Kolan
Node on catchment SC #568,Kolan,Kolan
Node on catchment SC #559,Mary,Mary
Node on catchment SC #561,Mary,Mary
Node on catchment SC #261,Burnett,Burnett
Node on catchment SC #266,Burnett,Burnett
Node on catchment SC #262,Burnett,Burnett
Node on catchment SC #263,Burnett,Burnett
Outlet Node29,Baffle,Baffle
Node on catchment SC #464,Mary,Mary
Outlet Node23,Mary,Mary
Outlet Node24,Mary,Mary
Outlet Node22,Mary,Mary
Outlet Node21,Burrum,Burrum
Node on catchment SC #107,Burnett,Burnett
Node on catchment SC #98,Burnett,Burnett
Node on catchment SC #102,Burnett,Burnett
Node on catchment SC #103,Burnett,Burnett
Node on catchment SC #395,Burnett,Burnett
Node on catchment SC #305,Burnett,Burnett
Node on catchment SC #373,Burnett,Burnett
Outlet Node31,Baffle,Baffle
Node on catchment SC #301,Burnett,Burnett
Node on catchment SC #302,Burnett,Burnett
Node on catchment SC #299,Burnett,Burnett
Outlet Node9,Kolan,Kolan
Node on catchment SC #28,Baffle,Baffle
Node on catchment SC #58,Kolan,Kolan
Outlet Node11,Kolan,Kolan
Node on catchment SC #506,Mary,Mary
Node on catchment SC #501,Mary,Mary
Outlet Node6,Baffle,Baffle
Outlet Node12,Burnett,Burnett
Node on catchment SC #168,Burnett,Burnett
Node on catchment SC #405,Burnett,Burnett
Node on catchment SC #626,Burnett,Burnett
Node on catchment SC #625,Burnett,Burnett
Node on catchment SC #399,Burnett,Burnett
Outlet Node28,Baffle,Baffle
Node on catchment SC #147,Burnett,Burnett
Node on catchment SC #610,Burnett,Burnett
Node on catchment SC #143,Burnett,Burnett
Node on catchment SC #145,Burnett,Burnett
Node on catchment SC #482,Mary,Mary
136014A,Burnett,Burnett
Node on catchment SC #509,Mary,Mary
Node on catchment SC #76,Burnett,Burnett
SC #90650,Baffle,Baffle
SC #90653,Baffle,Baffle
SC #90651,Baffle,Baffle
SC #90652,Baffle,Baffle
SC #1,Baffle,Baffle
SC #2,Baffle,Baffle
SC #3,Baffle,Baffle
SC #29,Baffle,Baffle
SC #30,Baffle,Baffle
SC #90654,Baffle,Baffle
SC #32,Baffle,Baffle
SC #4,Baffle,Baffle
SC #13,Baffle,Baffle
SC #7,Baffle,Baffle
SC #90679,Baffle,Baffle
SC #28,Baffle,Baffle
SC #9,Baffle,Baffle
SC #31,Baffle,Baffle
SC #389,Burnett,Burnett
SC #27,Baffle,Baffle
SC #25,Baffle,Baffle
SC #390,Burnett,Burnett
SC #26,Baffle,Baffle
SC #8,Baffle,Baffle
SC #24,Baffle,Baffle
SC #624,Burnett,Burnett
SC #601,Baffle,Baffle
SC #19,Baffle,Baffle
SC #6,Baffle,Baffle
SC #90655,Baffle,Baffle
SC #5,Baffle,Baffle
SC #588,Burnett,Burnett
SC #387,Burnett,Burnett
SC #90656,Baffle,Baffle
SC #23,Baffle,Baffle
SC #21,Baffle,Baffle
SC #391,Burnett,Burnett
SC #18,Baffle,Baffle
SC #64,Kolan,Kolan
SC #20,Baffle,Baffle
SC #12,Baffle,Baffle
SC #14,Baffle,Baffle
SC #10,Baffle,Baffle
SC #22,Baffle,Baffle
SC #388,Burnett,Burnett
SC #366,Burnett,Burnett
SC #376,Burnett,Burnett
SC #11,Baffle,Baffle
SC #375,Burnett,Burnett
SC #90657,Baffle,Baffle
SC #63,Kolan,Kolan
SC #401,Burnett,Burnett
SC #365,Burnett,Burnett
SC #402,Burnett,Burnett
SC #33,Baffle,Baffle
SC #62,Kolan,Kolan
SC #586,Burnett,Burnett
SC #15,Baffle,Baffle
SC #377,Burnett,Burnett
SC #386,Burnett,Burnett
SC #17,Baffle,Baffle
SC #61,Kolan,Kolan
SC #400,Burnett,Burnett
SC #38,Baffle,Baffle
SC #58,Kolan,Kolan
SC #90658,Baffle,Baffle
SC #34,Baffle,Baffle
SC #56,Kolan,Kolan
SC #90659,Baffle,Baffle
SC #16,Baffle,Baffle
SC #364,Burnett,Burnett
SC #60,Kolan,Kolan
SC #403,Burnett,Burnett
SC #625,Burnett,Burnett
SC #372,Burnett,Burnett
SC #352,Burnett,Burnett
SC #36,Baffle,Baffle
SC #90673,Baffle,Baffle
SC #37,Baffle,Baffle
SC #374,Burnett,Burnett
SC #35,Baffle,Baffle
SC #407,Burnett,Burnett
