ModelElement,Basin_35,Manag_Unit_48
SC #257,Herbert,Upper Herbert
SC #249,Herbert,Upper Herbert
SC #250,Herbert,Upper Herbert
SC #246,Herbert,Upper Herbert
SC #200,Murray,Murray
SC #241,Herbert,Upper Herbert
SC #203,Murray,Murray
SC #202,Murray,Murray
SC #244,Herbert,Upper Herbert
SC #242,Herbert,Upper Herbert
SC #201,Murray,Murray
SC #251,Herbert,Upper Herbert
SC #252,Herbert,Upper Herbert
SC #243,Herbert,Upper Herbert
SC #238,Herbert,Upper Herbert
SC #90504,Murray,Murray
SC #365,Herbert,Lower Herbert
SC #225,Herbert,Lower Herbert
SC #240,Herbert,Upper Herbert
SC #205,Murray,Murray
SC #239,Herbert,Upper Herbert
SC #361,Herbert,Upper Herbert
SC #446,Herbert,Lower Herbert
SC #364,Herbert,Lower Herbert
SC #90505,Murray,Murray
SC #236,Herbert,Lower Herbert
SC #237,Herbert,Upper Herbert
SC #362,Herbert,Upper Herbert
SC #468,Herbert,Upper Herbert
SC #226,Herbert,Lower Herbert
SC #363,Herbert,Lower Herbert
SC #224,Herbert,Lower Herbert
SC #368,Herbert,Lower Herbert
SC #234,Herbert,Lower Herbert
SC #235,Herbert,Lower Herbert
SC #230,Herbert,Lower Herbert
SC #231,Herbert,Lower Herbert
SC #445,Herbert,Lower Herbert
SC #229,Herbert,Lower Herbert
SC #367,Herbert,Lower Herbert
SC #227,Herbert,Lower Herbert
SC #366,Herbert,Lower Herbert
SC #228,Herbert,Lower Herbert
SC #223,Herbert,Lower Herbert
SC #222,Herbert,Lower Herbert
SC #221,Herbert,Lower Herbert
SC #470,Herbert,Lower Herbert
SC #90506,Herbert,Lower Herbert
SC #90507,Herbert,Lower Herbert
SC #206,Herbert,Lower Herbert
SC #422,Herbert,Lower Herbert
SC #220,Herbert,Lower Herbert
SC #369,Herbert,Lower Herbert
SC #219,Herbert,Lower Herbert
SC #217,Herbert,Lower Herbert
SC #209,Herbert,Lower Herbert
SC #218,Herbert,Lower Herbert
SC #232,Herbert,Lower Herbert
SC #233,Herbert,Lower Herbert
SC #208,Herbert,Lower Herbert
SC #207,Herbert,Lower Herbert
SC #370,Herbert,Lower Herbert
SC #466,Herbert,Lower Herbert
SC #210,Herbert,Lower Herbert
SC #216,Herbert,Lower Herbert
SC #375,Herbert,Lower Herbert
SC #215,Herbert,Lower Herbert
SC #90508,Herbert,Lower Herbert
SC #373,Herbert,Lower Herbert
SC #211,Herbert,Lower Herbert
SC #374,Herbert,Lower Herbert
SC #385,Herbert,Lower Herbert
SC #212,Herbert,Lower Herbert
SC #371,Herbert,Lower Herbert
SC #372,Herbert,Lower Herbert
SC #384,Herbert,Lower Herbert
SC #382,Herbert,Lower Herbert
SC #213,Herbert,Lower Herbert
SC #214,Herbert,Lower Herbert
SC #383,Herbert,Lower Herbert
SC #90513,Herbert,Lower Herbert
SC #381,Herbert,Lower Herbert
SC #379,Herbert,Lower Herbert
SC #380,Herbert,Lower Herbert
SC #469,Herbert,Lower Herbert
SC #376,Herbert,Lower Herbert
SC #386,Herbert,Lower Herbert
SC #377,Herbert,Lower Herbert
SC #378,Herbert,Lower Herbert
SC #387,Herbert,Lower Herbert
SC #388,Herbert,Lower Herbert
